date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:46	65862/65862	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Apr%202021%2006:02:50%20GMT	http://graphicfort.com/templates/plume/index.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/index.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:47	1528/1528	---M--	200	added ('OK')	image/png	etag:%22240d69-5f8-55b5939f30c80%22	http://graphicfort.com/templates/plume/images/index/cleaning/logo.png	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/index/cleaning/logo.png	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:48	566/566	---M--	200	added ('OK')	image/jpeg	etag:%22240cbf-236-55b592f663e40%22	http://graphicfort.com/templates/plume/images/header/header-lang-flags/fr.jpg	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/header/header-lang-flags/fr.jpg	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:49	595/595	---M--	200	added ('OK')	image/jpeg	etag:%22240cc0-253-55b592f758080%22	http://graphicfort.com/templates/plume/images/header/header-lang-flags/ge.jpg	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/header/header-lang-flags/ge.jpg	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:50	587/587	---M--	200	added ('OK')	image/jpeg	etag:%22240cc1-24b-55b592f84c2c0%22	http://graphicfort.com/templates/plume/images/header/header-lang-flags/it.jpg	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/images/header/header-lang-flags/it.jpg	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:52	37919/37919	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:51:54%20GMT	http://graphicfort.com/templates/plume/header-1.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-1.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:53	38829/38829	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:04%20GMT	http://graphicfort.com/templates/plume/header-2.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-2.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:54	39535/39535	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:04%20GMT	http://graphicfort.com/templates/plume/header-3.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-3.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:55	39082/39082	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:07%20GMT	http://graphicfort.com/templates/plume/header-4.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-4.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:56	39398/39398	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:08%20GMT	http://graphicfort.com/templates/plume/header-5.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-5.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:57	40562/40562	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:10%20GMT	http://graphicfort.com/templates/plume/header-6.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-6.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:58	38490/38490	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:11%20GMT	http://graphicfort.com/templates/plume/header-7.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-7.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:25:59	40166/40166	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:14%20GMT	http://graphicfort.com/templates/plume/header-8.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-8.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:00	38129/38129	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:52:14%20GMT	http://graphicfort.com/templates/plume/header-9.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-9.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:01	36115/36115	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:51:54%20GMT	http://graphicfort.com/templates/plume/header-10.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-10.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:02	39753/39753	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:51:57%20GMT	http://graphicfort.com/templates/plume/header-11.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-11.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
22:26:03	37184/37184	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Oct%202017%2012:51:58%20GMT	http://graphicfort.com/templates/plume/header-12.html	/Users/sodiqalase/websites/Plume/graphicfort.com/templates/plume/header-12.html	(from http://graphicfort.com/templates/plume/index-cleaning.html)
